"Name","Station","Uni","Longitude","Latitude","Trawling_intensity","Pollution_intensity","Eutrophication_intensity","Reference_stations","High_impact","Depth"
"FC","FC123","FC_FC123",-45.7508,48.2918,0.04,NA,NA,"no","no",1043
"FC","FC127","FC_FC127",-45.006,48.5287,0.08,NA,NA,"no","no",840
"FC","FC158","FC_FC158",-46.1692,47.8933,0.09,NA,NA,"no","no",1114
"FC","FC151","FC_FC151",-46.2852,48.235,0.13,NA,NA,"no","no",1117
"FC","FC161","FC_FC161",-46.2667,47.593,0.13,NA,NA,"no","no",1134
"FC","FC154","FC_FC154",-45.9513,48.063,0.16,NA,NA,"no","no",887
"FC","FC137","FC_FC137",-44.5317,48.5565,0.17,NA,NA,"no","no",1236
"FC","FC153","FC_FC153",-45.8828,48.1997,0.17,NA,NA,"no","no",953
"FC","FC148","FC_FC148",-45.9562,48.3993,0.21,NA,NA,"no","no",1131
"FC","FC125","FC_FC125",-45.0267,48.7328,0.25,NA,NA,"no","no",1221
"FC","FC140","FC_FC140",-45.1413,48.7993,0.29,NA,NA,"no","no",1134
"FC","FC150","FC_FC150",-46.3312,48.4037,0.29,NA,NA,"no","no",1179
"FC","FC129","FC_FC129",-44.6308,48.508,0.46,NA,NA,"no","no",957
"FC","FC159","FC_FC159",-46.0503,47.8352,0.66,NA,NA,"no","no",908
"FC","FC141","FC_FC141",-45.202,48.8897,1.24,NA,NA,"no","no",1221
"FC","FC124","FC_FC124",-45.6113,48.361,1.54,NA,NA,"no","yes",786
"FC","FC149","FC_FC149",-46.0727,48.4022,1.8,NA,NA,"no","yes",1061
"FC","FC143","FC_FC143",-45.3553,48.7648,2.08,NA,NA,"no","yes",1196
"FC","FC144","FC_FC144",-45.5907,48.6575,2.76,NA,NA,"no","yes",974
"FC","FC147","FC_FC147",-45.8575,48.5615,12.15,NA,NA,"no","yes",1081
"FG","H","FG_H",0.449,58.102,0.14,NA,NA,"yes","no",146
"FG","L","FG_L",0.422,57.985,0.16,NA,NA,"yes","no",143
"FG","G","FG_G",0.385,58.083,0.32,NA,NA,"yes","no",145
"FG","B","FG_B",0.52,58.23,0.35,NA,NA,"yes","no",148
"FG","I","FG_I",0.565,58.088,0.59,NA,NA,"no","no",151
"FG","N","FG_N",0.618,58.018,0.67,NA,NA,"no","no",150
"FG","M","FG_M",0.728,58.076,0.88,NA,NA,"no","no",150
"FG","F","FG_F",0.835,58.109,0.9,NA,NA,"no","no",150
"FG","C","FG_C",0.719,58.231,1.16,NA,NA,"no","no",151
"FG","K","FG_K",0.511,58.172,1.18,NA,NA,"no","yes",148
"FG","J","FG_J",0.618,58.176,1.31,NA,NA,"no","yes",150
"FG","E","FG_E",0.899,58.259,1.33,NA,NA,"no","yes",150
"FG","O","FG_O",0.816,58.173,1.38,NA,NA,"no","yes",153
"FG","D","FG_D",0.769,58.257,3,NA,NA,"no","yes",151
"Finland","AMN","Finland_AMN",23.2572,59.6905,NA,NA,10.3,"yes","no",55
"Finland","LL11","Finland_LL11",23.2968,59.5835,NA,NA,8.6,"yes","no",68
"Finland","LL3A","Finland_LL3A",26.3467,60.0672,NA,NA,4.1,"no","no",69
"Finland","LL4A","Finland_LL4A",26.0802,60.0168,NA,NA,8.7,"yes","no",59
"Finland","LL5","Finland_LL5",25.597,59.9168,NA,NA,3.3,"no","yes",70
"Finland","LL6A","Finland_LL6A",25.0302,59.9168,NA,NA,3.6,"no","yes",73
"Finland","LL7","Finland_LL7",24.8378,59.8465,NA,NA,4,"no","yes",76
"Finland","LL9","Finland_LL9",24.0302,59.7002,NA,NA,8.4,"yes","no",67
"Gotland","GO 10","Gotland_GO 10",19.0921,57.4322,0,NA,NA,"yes","no",49
"Gotland","GO 14","Gotland_GO 14",18.9425,57.3511,0,NA,NA,"yes","no",36.5
"Gotland","GO 17","Gotland_GO 17",18.9856,57.2696,0,NA,NA,"yes","no",58
"Gotland","IVB 1","Gotland_IVB 1",19.1168,57.4334,0,NA,NA,"yes","no",45
"Gotland","GO 13","Gotland_GO 13",19.1261,57.3933,0.42,NA,NA,"no","no",59
"Gotland","GO 4","Gotland_GO 4",18.944,57.2723,0.6,NA,NA,"no","no",53
"Gotland","GO 3","Gotland_GO 3",18.8827,57.2088,4.67,NA,NA,"no","yes",51
"Gotland","3129","Gotland_3129",18.8241,57.1626,5.35,NA,NA,"no","yes",44.5
"NIC1","Dem2016_107","NIC1_Dem2016_107",-3.3316,43.4721,0,NA,NA,"yes","no",71.09806824
"NIC1","Dem2016_58","NIC1_Dem2016_58",-8.503,43.4456,0,NA,NA,"yes","no",100.1472855
"NIC1","Dem2016_100","NIC1_Dem2016_100",-4.8461,43.5734,0.07,NA,NA,"yes","no",146.3106079
"NIC1","Dem2016_129","NIC1_Dem2016_129",-2.2967,43.3916,0.96,NA,NA,"no","no",105.8753357
"NIC1","Dem2016_49","NIC1_Dem2016_49",-7.9122,43.839,1.1,NA,NA,"no","no",132.5230865
"NIC1","Dem2016_118","NIC1_Dem2016_118",-3.7791,43.6425,1.2,NA,NA,"no","no",179.2476044
"NIC1","Dem2016_115","NIC1_Dem2016_115",-4.1268,43.4685,1.23,NA,NA,"no","no",83.51725769
"NIC1","Dem2016_3","NIC1_Dem2016_3",-9.1284,42.0383,1.7,NA,NA,"no","no",132.5754242
"NIC1","Dem2016_116","NIC1_Dem2016_116",-3.8926,43.5468,1.71,NA,NA,"no","no",101.6205597
"NIC1","Dem2016_92","NIC1_Dem2016_92",-5.3745,43.7601,1.72,NA,NA,"no","no",146.2373047
"NIC1","Dem2016_72","NIC1_Dem2016_72",-6.9783,43.7382,1.78,NA,NA,"no","no",130.6153717
"NIC1","Dem2016_108","NIC1_Dem2016_108",-3.3093,43.5719,2.04,NA,NA,"no","no",197.7997589
"NIC1","Dem2016_96","NIC1_Dem2016_96",-5.3988,43.6307,2.37,NA,NA,"no","no",128.5036469
"NIC1","Dem2016_64","NIC1_Dem2016_64",-7.5598,43.9965,2.43,NA,NA,"no","no",139.9756622
"NIC1","Dem2016_13","NIC1_Dem2016_13",-9.1758,42.1833,3.45,NA,NA,"no","no",153.1759338
"NIC1","Dem2016_88","NIC1_Dem2016_88",-5.7742,43.8458,3.57,NA,NA,"no","yes",102.3212662
"NIC1","Dem2016_35","NIC1_Dem2016_35",-8.9772,43.4866,3.79,NA,NA,"no","yes",178.0912781
"NIC1","Dem2016_62","NIC1_Dem2016_62",-8.5258,43.6892,4.56,NA,NA,"no","yes",174.0383606
"NIC1","Dem2016_6","NIC1_Dem2016_6",-9.2832,42.108,6.08,NA,NA,"no","yes",178.9237518
"NIC1","Dem2016_4","NIC1_Dem2016_4",-9.3118,41.9793,10.44,NA,NA,"no","yes",169.2581329
"NIC2","Dem2016_102","NIC2_Dem2016_102",-5.1104,44.0056,0,NA,NA,"yes","no",818.0489502
"NIC2","Dem2016_103","NIC2_Dem2016_103",-5.0688,43.9124,0,NA,NA,"yes","no",892.779541
"NIC2","Dem2016_41","NIC2_Dem2016_41",-8.9331,44.1004,0,NA,NA,"yes","no",688.2329102
"NIC2","Dem2016_65","NIC2_Dem2016_65",-7.5511,44.0898,0.19,NA,NA,"yes","no",846.881958
"NIC2","Dem2016_111","NIC2_Dem2016_111",-4.5666,43.5064,0.23,NA,NA,"yes","no",202.5165405
"NIC2","Dem2016_99","NIC2_Dem2016_99",-4.9974,43.6362,0.37,NA,NA,"no","no",332.7095337
"NIC2","Dem2016_9","NIC2_Dem2016_9",-9.4618,42.2647,0.39,NA,NA,"no","no",516.4078979
"NIC2","Dem2016_123","NIC2_Dem2016_123",-2.5653,43.5556,0.62,NA,NA,"no","no",199.9284668
"NIC2","Dem2016_104","NIC2_Dem2016_104",-5.0263,43.8223,0.73,NA,NA,"no","no",616.5732422
"NIC2","Dem2016_105","NIC2_Dem2016_105",-5.0358,43.7799,0.73,NA,NA,"no","no",438.013855
"NIC2","Dem2016_119","NIC2_Dem2016_119",-3.7847,43.6689,1.66,NA,NA,"no","no",219.0275574
"NIC2","Dem2016_120","NIC2_Dem2016_120",-3.8306,43.6878,1.66,NA,NA,"no","no",487.8292542
"NIC2","Dem2016_121","NIC2_Dem2016_121",-3.0787,43.5923,2.39,NA,NA,"no","no",277.7233582
"NIC2","Dem2016_53","NIC2_Dem2016_53",-8.1489,43.9074,2.41,NA,NA,"no","no",203.3438721
"NIC2","Dem2016_39","NIC2_Dem2016_39",-8.8324,43.7775,2.48,NA,NA,"no","no",547.8342285
"NIC2","Dem2016_109","NIC2_Dem2016_109",-4.5123,43.703,2.89,NA,NA,"no","no",572.137207
"NIC2","Dem2016_89","NIC2_Dem2016_89",-5.537,43.9335,3.18,NA,NA,"no","no",616.581604
"NIC2","Dem2016_125","NIC2_Dem2016_125",-2.2773,43.5992,3.49,NA,NA,"no","no",525.5309448
"NIC2","Dem2016_87","NIC2_Dem2016_87",-6.1021,43.8895,3.65,NA,NA,"no","no",505.9477234
"NIC2","Dem2016_50","NIC2_Dem2016_50",-7.8237,44.0213,3.73,NA,NA,"no","no",200.0669098
"NIC2","Dem2016_124","NIC2_Dem2016_124",-2.4482,43.5258,4.33,NA,NA,"no","no",349.8625488
"NIC2","Dem2016_78","NIC2_Dem2016_78",-6.4717,43.8848,4.99,NA,NA,"no","no",530.1580811
"NIC2","Dem2016_81","NIC2_Dem2016_81",-6.2123,43.8477,5.02,NA,NA,"no","no",424.5481873
"NIC2","Dem2016_90","NIC2_Dem2016_90",-5.5885,43.8898,5.07,NA,NA,"no","no",311.5293884
"NIC2","Dem2016_44","NIC2_Dem2016_44",-8.4483,44.0641,5.14,NA,NA,"no","no",328.8296814
"NIC2","Dem2016_75","NIC2_Dem2016_75",-6.7544,43.9701,5.29,NA,NA,"no","no",373.7503967
"NIC2","Dem2016_51","NIC2_Dem2016_51",-8.0477,44.0328,5.56,NA,NA,"no","no",216.1677399
"NIC2","Dem2016_93","NIC2_Dem2016_93",-5.3638,43.8723,5.85,NA,NA,"no","no",339.4747314
"NIC2","Dem2016_20","NIC2_Dem2016_20",-9.5392,42.7948,5.89,NA,NA,"no","no",228.3173218
"NIC2","Dem2016_43","NIC2_Dem2016_43",-8.5776,44.0325,6.15,NA,NA,"no","no",371.7419434
"NIC2","Dem2016_22","NIC2_Dem2016_22",-9.5565,42.9313,6.78,NA,NA,"no","no",233.2547913
"NIC2","Dem2016_86","NIC2_Dem2016_86",-6.0952,43.7828,6.78,NA,NA,"no","no",265.328125
"NIC2","Dem2016_76","NIC2_Dem2016_76",-6.5283,43.8875,7,NA,NA,"no","no",259.4546204
"NIC2","Dem2016_80","NIC2_Dem2016_80",-6.294,43.7618,7.42,NA,NA,"no","no",301.5804749
"NIC2","Dem2016_27","NIC2_Dem2016_27",-9.3907,43.35,7.82,NA,NA,"no","no",266.9414368
"NIC2","Dem2016_42","NIC2_Dem2016_42",-8.7144,44.0471,7.99,NA,NA,"no","no",457.7222595
"NIC2","Dem2016_52","NIC2_Dem2016_52",-8.2458,44.0487,8.34,NA,NA,"no","no",291.8937378
"NIC2","Dem2016_36","NIC2_Dem2016_36",-9.0849,43.539,8.62,NA,NA,"no","no",286.6731873
"NIC2","Dem2016_48","NIC2_Dem2016_48",-8.3571,43.95,9.04,NA,NA,"no","no",236.0670624
"NIC2","Dem2016_24","NIC2_Dem2016_24",-9.5707,43.086,10.35,NA,NA,"no","no",239.3391724
"NIC2","Dem2016_19","NIC2_Dem2016_19",-9.5766,42.7165,11.41,NA,NA,"no","no",744.1682129
"NIC2","Dem2016_40","NIC2_Dem2016_40",-8.7286,43.7059,11.5,NA,NA,"no","no",279.1783447
"NIC2","Dem2016_47","NIC2_Dem2016_47",-8.5134,43.8778,12.47,NA,NA,"no","no",289.3518372
"NIC2","Dem2016_7","NIC2_Dem2016_7",-9.3556,42.0533,12.72,NA,NA,"no","no",222.5796814
"NIC2","Dem2016_126","NIC2_Dem2016_126",-2.2373,43.5577,13.02,NA,NA,"no","no",355.6810913
"NIC2","Dem2016_45","NIC2_Dem2016_45",-8.6433,43.9764,14.29,NA,NA,"no","no",448.2069092
"NIC2","Dem2016_10","NIC2_Dem2016_10",-9.3472,42.2851,14.42,NA,NA,"no","no",236.2314301
"NIC2","Dem2016_8","NIC2_Dem2016_8",-9.3926,42.5264,14.69,NA,NA,"no","yes",243.1488037
"NIC2","Dem2016_46","NIC2_Dem2016_46",-8.685,43.8929,15.18,NA,NA,"no","yes",463.1744385
"NIC2","Dem2016_37","NIC2_Dem2016_37",-8.9088,43.6098,17.87,NA,NA,"no","yes",275.5335083
"NIC2","Dem2016_38","NIC2_Dem2016_38",-8.8725,43.6802,19.3,NA,NA,"no","yes",489.1440125
"NIC2","Dem2016_26","NIC2_Dem2016_26",-9.5142,43.2407,21.12,NA,NA,"no","yes",288.1907654
"OxyTrawl","OT15","OxyTrawl_OT15",18.2706,55.1717,0.04,NA,NA,"yes","no",71.96
"OxyTrawl","OT14","OxyTrawl_OT14",18.2205,55.2219,0.15,NA,NA,"yes","no",61.9
"OxyTrawl","OT13","OxyTrawl_OT13",18.2215,55.2718,0.61,NA,NA,"no","no",69.8
"OxyTrawl","OT11","OxyTrawl_OT11",18.0233,55.3752,0.74,NA,NA,"no","no",76.16
"OxyTrawl","OT17","OxyTrawl_OT17",18.024,55.4249,0.81,NA,NA,"no","no",75.54
"OxyTrawl","OT16","OxyTrawl_OT16",18.0732,55.4246,1.24,NA,NA,"no","no",76.9
"OxyTrawl","OT12","OxyTrawl_OT12",18.2229,55.3248,2.02,NA,NA,"no","yes",79.3
"OxyTrawl","OT1","OxyTrawl_OT1",18.1726,55.3245,2.16,NA,NA,"no","yes",81.02
"OxyTrawl","OT2","OxyTrawl_OT2",18.1238,55.3253,3.46,NA,NA,"no","yes",81.6
"OxyTrawl","OT3","OxyTrawl_OT3",18.1243,55.3746,4.72,NA,NA,"no","yes",81.66
"OxyTrawl","OT19","OxyTrawl_OT19",18.171,55.373,7.14,NA,NA,"no","yes",84.8
"PH","B","PH_B",-0.167,57.401,0.06,NA,NA,"yes","no",77
"PH","E","PH_E",-0.203,57.312,0.21,NA,NA,"yes","no",74
"PH","D","PH_D",0.08,57.391,0.35,NA,NA,"yes","no",83
"PH","A","PH_A",-0.028,57.408,1.41,NA,NA,"no","yes",79
"PH","C","PH_C",-0.006,57.377,1.55,NA,NA,"no","yes",76
"Saronikos","S1","Saronikos_S1",23.5805,38.0305,NA,NA,0.21,"no","yes",20
"Saronikos","S13","Saronikos_S13",23.455,37.8402,NA,NA,0.05,"yes","no",94
"Saronikos","S16","Saronikos_S16",23.7007,37.7872,NA,NA,0.042,"yes","no",90
"Saronikos","S2","Saronikos_S2",23.4505,38.011,NA,NA,0.329,"no","yes",33
"Saronikos","S7","Saronikos_S7",23.5908,37.9237,NA,NA,0.252,"no","yes",65
"Saronikos","S7N","Saronikos_S7N",23.5843,37.9327,NA,NA,0.13,"no","no",50
"Saronikos","S7W","Saronikos_S7W",23.548,37.9313,NA,NA,0.141,"no","no",30
"Saronikos","S8","Saronikos_S8",23.5333,37.8833,NA,NA,0.096,"yes","no",90
"SEL","H","SEL_H",-3.608,54.402,0.5,NA,NA,"yes","no",21
"SEL","T","SEL_T",-3.482,54.065,2.7,NA,NA,"yes","no",24
"SEL","R","SEL_R",-3.605,54.138,3.6,NA,NA,"no","no",28
"SEL","C","SEL_C",-3.675,54.422,5.8,NA,NA,"no","no",26
"SEL","S","SEL_S",-3.511,54.11,6.6,NA,NA,"no","no",24
"SEL","P","SEL_P",-3.65,54.209,7,NA,NA,"no","no",34
"SEL","B","SEL_B",-3.747,54.413,7.3,NA,NA,"no","no",31
"SEL","L","SEL_L",-3.723,54.241,7.7,NA,NA,"no","no",36
"SEL","I","SEL_I",-3.828,54.282,7.8,NA,NA,"no","no",38
"SEL","F","SEL_F",-3.715,54.34,8.5,NA,NA,"no","no",36
"SEL","D","SEL_D",-3.844,54.333,8.8,NA,NA,"no","yes",42
"SEL","G","SEL_G",-3.693,54.372,9.4,NA,NA,"no","yes",29
"SEL","M","SEL_M",-3.655,54.287,10.2,NA,NA,"no","yes",31
"SEL","E","SEL_E",-3.754,54.323,10.5,NA,NA,"no","yes",38
"SEL","O","SEL_O",-3.64,54.247,11.9,NA,NA,"no","yes",31
"SP","SP5","SP_SP5",1.9308,54.0377,1.75,NA,NA,"yes","no",76
"SP","SP3","SP_SP3",1.9946,54.0496,4.25,NA,NA,"yes","no",76
"SP","SP7","SP_SP7",2.09,54.0108,7,NA,NA,"no","no",78
"SP","SP1","SP_SP1",2.3808,54.0333,29,NA,NA,"no","yes",72
"SP","SP2","SP_SP2",2.1419,54.092,38.5,NA,NA,"no","yes",77
"SP","SP6","SP_SP6",2.5242,54.1192,99,NA,NA,"no","yes",68
"TH","TH3","TH_TH3",1.4156,51.5324,0,NA,NA,"yes","no",18
"TH","TH4","TH_TH4",1.0401,51.528,0,NA,NA,"yes","no",16
"TH","TH5","TH_TH5",1.4528,51.5053,0,NA,NA,"yes","no",22
"TH","TH2","TH_TH2",1.5782,51.4745,54,NA,NA,"no","yes",25
"TH","TH6","TH_TH6",1.4558,51.5583,78,NA,NA,"no","yes",17
"TH","TH1","TH_TH1",1.748,51.5267,100,NA,NA,"no","yes",40
"Vigo","AG0304","Vigo_AG0304",-8.71039,42.261,NA,1.82,NA,"no","no",NA
"Vigo","AG0305","Vigo_AG0305",-8.71039,42.261,NA,2.7,NA,"no","yes",NA
"Vigo","AG0406","Vigo_AG0406",-8.71039,42.261,NA,2.54,NA,"no","no",NA
"Vigo","AG1004","Vigo_AG1004",-8.71039,42.261,NA,2.31,NA,"no","no",NA
"Vigo","CA0305","Vigo_CA0305",-8.77766,42.254,NA,-1.51,NA,"yes","no",NA
"Vigo","CA0406","Vigo_CA0406",-8.77766,42.254,NA,-1.84,NA,"yes","no",NA
"Vigo","CA1004","Vigo_CA1004",-8.77766,42.254,NA,-1.57,NA,"yes","no",NA
"Vigo","MO0304","Vigo_MO0304",-8.7248,42.276,NA,-0.36,NA,"yes","no",NA
"Vigo","MO0305","Vigo_MO0305",-8.7248,42.276,NA,0.24,NA,"no","no",NA
"Vigo","MO0406","Vigo_MO0406",-8.7248,42.276,NA,-0.28,NA,"yes","no",NA
"Vigo","MO1004","Vigo_MO1004",-8.7248,42.276,NA,0.4,NA,"no","no",NA
"Vigo","NA0305","Vigo_NA0305",-8.720499,42.244,NA,7.72,NA,"no","yes",NA
"Vigo","NA0406","Vigo_NA0406",-8.720499,42.244,NA,5.61,NA,"no","yes",NA
"Vigo","RE0304","Vigo_RE0304",-8.6317,42.291,NA,1.04,NA,"no","no",NA
"Vigo","RE0305","Vigo_RE0305",-8.6317,42.291,NA,0.71,NA,"no","no",NA
"Vigo","RE0406","Vigo_RE0406",-8.6317,42.291,NA,0.91,NA,"no","no",NA
"Vigo","RE1004","Vigo_RE1004",-8.6317,42.291,NA,1.24,NA,"no","no",NA
"Vigo","VI0305","Vigo_VI0305",-8.739992,42.233,NA,6.34,NA,"no","yes",NA
"Vigo","VI0406","Vigo_VI0406",-8.739992,42.233,NA,6.52,NA,"no","yes",NA
"Vigo","VI1004","Vigo_VI1004",-8.739992,42.233,NA,3.83,NA,"no","yes",NA
